Designator,Footprint,Quantity,Value,LCSC Part #
"C1, L3",C_0603_HandSolder,2,15pF,
"C10, C11",C_0603_HandSolder,2,100nF,
"C12, C13, C14, C15",C_0603_HandSolder,4,27pF,
C2,C_0603_HandSolder,1,3pF,
C3,C_0603_HandSolder,1,6.2pF,
"C4, C5",C_0603_HandSolder,2,24pF,
"C6, C7",C_0603_HandSolder,2,4.7pF,
C8,C_0603_HandSolder,1,4.7uF,
C9,C_0603_HandSolder,1,470pF,
"J1, J2",PinHeader_1x06_P2.54mm_Vertical,2,Conn_01x06_Pin,
L1,L_0603_HandSolder,1,180nH,
L2,L_0603_HandSolder,1,22nH,
"L4, L5",L_0603_HandSolder,2,33nH,
"L6, L7",L_0603_HandSolder,2,27nH,
L8,L_0603_HandSolder,1,68nH,
U1,QFN-16-1EP_3x3mm_P0.5mm_EP1.7x1.7mm,1,CMT2300A,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,26MHz,
