Designator,Mid X,Mid Y,Rotation,Layer
C1,134.6,-77.4,0.0,top
C10,145.2,-84.3,90.0,top
C11,146.4,-84.3,90.0,top
C12,145.8,-81.8,0.0,top
C13,145.8,-80.0,0.0,top
C14,145.8,-78.2,0.0,top
C15,145.8,-76.4,0.0,top
C2,134.6,-79.8,0.0,top
C3,134.6,-83.4,0.0,top
C4,138.6,-73.7,180.0,top
C5,138.6,-74.9,180.0,top
C6,142.9,-84.599999,90.0,top
C7,138.9,-84.6,90.0,top
C8,134.6,-73.7,0.0,top
C9,134.6,-74.9,0.0,top
J1,131.2,-80.01,0.0,bottom
J2,148.8,-80.01,0.0,bottom
L1,134.6,-76.1,0.0,top
L2,134.6,-78.6,0.0,top
L3,134.6,-81.0,0.0,top
L4,134.6,-82.2,180.0,top
L5,134.6375,-84.6,180.0,top
L6,137.7,-84.6,90.0,top
L7,141.7,-84.599999,90.0,top
L8,140.1,-84.6,90.0,top
U1,140.0,-79.5,90.0,top
Y1,142.2,-75.2,180.0,top
